DATE,START,VISITOR,HOME
12-22-2020,7:00p,GSW,BKN
12-22-2020,10:00p,LAC,LAL
12-23-2020,7:00p,CHA,CHI
12-23-2020,7:00p,NYK,IND
12-23-2020,7:00p,MIA,ORL
12-23-2020,7:00p,WAS,PHI
12-23-2020,7:30p,NOP,TOR
12-23-2020,7:30p,MIL,BOS
12-23-2020,8:00p,ATL,CHI
12-23-2020,8:00p,SAS,MEM
12-23-2020,8:00p,DET,MIN
12-23-2020,9:00p,SAC,DEN
12-23-2020,10:00p,UTH,POR
12-23-2020,10:30p,DAL,PHO
12-25-2020,12:00p,NOP,MIA
12-25-2020,2:30p,GSW,MIL
12-25-2020,5:00p,BKN,BOS
12-25-2020,8:00p,DAL,LAL
12-25-2020,10:30p,LAC,DEN
12-26-2020,5:00p,ATL,MEM
12-26-2020,7:00p,OKC,CHA
12-26-2020,7:00p,CHI,DET
12-26-2020,7:00p,ORL,WAS
12-26-2020,7:30p,PHI,NYK
12-26-2020,8:00p,IND,CHI
12-26-2020,8:30p,TOR,SAS
12-26-2020,9:00p,MIN,UTH
12-26-2020,10:00p,HOU,POR
12-26-2020,10:00p,PHO,SAC
12-27-2020,3:30p,DAL,LAC
12-27-2020,7:00p,SAS,NOP
12-27-2020,7:00p,ORL,WAS
12-27-2020,7:00p,BKN,CHA
12-27-2020,7:30p,PHI,CHI
12-27-2020,7:30p,MIL,NYK
12-27-2020,8:00p,BOS,IND
12-27-2020,8:00p,GSW,CHI
12-27-2020,9:00p,PHO,SAC
12-27-2020,10:00p,MIN,LAL
12-28-2020,7:30p,MEM,BKN
12-28-2020,7:30p,DET,ATL
12-28-2020,8:00p,UTH,OKC
12-28-2020,9:00p,HOU,DEN
12-28-2020,10:00p,POR,LAL
12-29-2020,7:00p,NYK,CHI
12-29-2020,7:00p,GSW,DET
12-29-2020,7:00p,BOS,IND
12-29-2020,7:00p,CHI,WAS
12-29-2020,7:00p,TOR,PHI
12-29-2020,7:30p,MIL,MIA
12-29-2020,8:00p,ORL,OKC
12-29-2020,10:00p,NOP,PHO
12-29-2020,10:00p,DEN,SAC
12-29-2020,10:00p,MIN,LAC
12-30-2020,7:30p,MIL,MIA
12-30-2020,7:30p,ATL,BKN
12-30-2020,7:30p,MEM,BOS
12-30-2020,8:30p,CHA,DAL
12-30-2020,8:30p,LAL,SAS
12-30-2020,10:00p,POR,LAC
12-31-2020,3:00p,CHI,IND
12-31-2020,5:00p,CHI,WAS
12-31-2020,6:30p,PHI,ORL
12-31-2020,7:00p,SAC,HOU
12-31-2020,7:30p,NYK,TOR
12-31-2020,8:00p,NOP,OKC
12-31-2020,9:00p,PHO,UTH
01-01-2021,7:00p,MEM,CHA
01-01-2021,7:00p,MIA,DAL
01-01-2021,7:00p,BOS,DET
01-01-2021,7:30p,ATL,BKN
01-01-2021,8:00p,CHI,MIL
01-01-2021,8:00p,WAS,MIN
01-01-2021,8:00p,LAL,SAS
01-01-2021,9:00p,PHO,DEN
01-01-2021,9:00p,LAC,UTH
01-01-2021,10:30p,POR,GSW
01-02-2021,5:00p,SAC,HOU
01-02-2021,7:00p,NYK,IND
01-02-2021,7:00p,OKC,ORL
01-02-2021,7:00p,CHA,PHI
01-02-2021,7:30p,CHI,ATL
